id_contract;TARGET
17892;-0.7071372044923221
17893;-4.272568675958016
17894;-2.7550988008252415
17895;-1.196529793812557
17896;-0.27525468436008615
17897;-3.447746177278314
17898;-2.904007677467305
17899;-0.0367734494480252
17900;-1.8381000386947868
17901;-0.9862843440938154
17902;-2.687501967152889
17903;-0.43299833604757376
17904;-0.4017886035043152
17905;-0.16182222304166888
17906;-1.4604293793523133
17907;-1.1783244042425622
17908;-3.320409935021467
17909;-2.646929464317584
17910;-4.504422090459499
17911;-0.6597869300106051
17912;-1.9524813342459428
17913;-0.913685612506725
17914;-0.008559815958841198
17915;-0.008559815958841198
17916;-1.15167133462684
17917;-1.712313203548391
17918;-0.00532349194571159
17919;-0.012309918652990925
17920;-2.3355872969660547
17921;-0.022514931816686398
17922;-0.022514931816686398
17923;-1.0672452399393064
17924;-2.899414110707584
17925;-0.018496327151339788
17926;-1.5238897622460363
17927;-1.7181377674741765
17928;-0.45071803671186705
17929;-2.8713732299729577
17930;-3.1816992262430355
17931;-3.8916372696947286
17932;-2.0648514275978447
17933;-0.018851647153122826
17934;-5.3334991230052715
17935;-0.37710450654709465
17936;-0.018851647153122826
17937;-0.0015793488522133743
17938;-0.0015793488522133743
17939;-0.0015793488522133743
17940;-0.806095999613819
17941;-3.675569344074817
17942;-1.9625030929935166
17943;-1.776466475738125
17944;-3.1681379030892085
17945;-3.0429023681930305
17946;-0.08259353710601912
17947;-2.158207741434079
17948;-1.0232857223980802
17949;-2.9817416642108
17950;-5.172072688763282
17951;-1.6863753314205323
17952;-1.6744438627275082
17953;-0.0006115398656373984
17954;-2.0585268903524065
17955;-1.7591576718395507
17956;-0.025468171699392386
17957;-0.025468171699392386
17958;-3.3716509717212535
17959;-1.3528271613590919
17960;-2.6315765441756964
17961;-2.800445954220721
17962;-2.230927269572369
17963;-0.976420346827535
17964;-0.5878055058782095
17965;-4.75307988998808
17966;-2.4449684555617566
17967;-0.5579245772029906
17968;-0.42448404108123816
17969;-0.5404026713347899
17970;-4.741569304959847
17971;-2.868449992230483
17972;-0.8163378034470538
17973;-0.6842837233998665
17974;-2.3831104507988394
17975;-1.5404882027652587
17976;-2.958206150244968
17977;-3.6878806933219335
17978;-0.628312222872161
17979;-4.901500198464702
17980;-1.6780326413852258
17981;-1.6448017848183059
17982;-3.1138671847241866
17983;-2.8527337602717235
17984;-0.005101797867178532
17985;-1.6049949712253286
17986;-0.002678087041132714
17987;-1.1961724531573463
17988;-0.03734642931842277
17989;-1.6011999783022506
17990;-0.5147584045010442
17991;-1.184824209509646
17992;-1.2156124797412984
17993;-1.1999653288056868
17994;-1.3284758740991771
17995;-3.45748414829646
17996;-0.015618443102496528
17997;-0.9382784070392445
17998;-2.8341558362589425
17999;-5.312642903118702
18000;-0.7514069053578087
18001;-0.008869962420533626
18002;-0.052733069668470973
18003;-0.4935675858378403
18004;-0.583826101543122
18005;-0.0043083430239989505
18006;-0.16608163575187598
18007;-0.29551011996945026
18008;-0.967296118101168
18009;-0.5421005999288165
18010;-0.38287028473395296
18011;-1.3767271505594434
18012;-2.475334184453928
18013;-1.0188928035285414
18014;-0.0015679095552098795
18015;-0.7426999670748688
18016;-1.0906045876749477
18017;-0.2793147239898301
18018;-0.07850162682672983
18019;-0.44415293871877437
18020;-3.616593606372747
18021;-3.1175999902589893
18022;-2.7933230760735475
18023;-0.50544990065353
18024;-6.029571734911851
18025;-0.7840573862920862
18026;-0.002604766574227572
18027;-2.043867386572015
18028;-5.209449871862899
18029;-0.0075888592787002294
18030;-0.0048421867224724595
18031;-0.0075888592787002294
18032;-1.872387108968697
18033;-0.0075888592787002294
18034;-1.320991030725884
18035;-5.829473513462233
18036;-0.8533097477518703
18037;-3.8901354951479616
18038;-0.041332677921777417
18039;-0.008339479669895521
18040;-1.1146718832088365
18041;-0.0075888592787002294
18042;-0.9242310889334248
18043;-0.8142204653597757
18044;-0.5127551031131297
18045;-3.2879201399704883
18046;-0.004097078834860228
18047;-2.955878033207574
18048;-0.4412072825986656
18049;-2.5179018907250605
18050;-1.1934888425366137
18051;-0.024976975157984988
18052;-0.0014675331974659269
18053;-0.6780154373602926
18054;-3.05893595565121
18055;-3.631093708298963
18056;-1.4062307048399814
18057;-0.46703804374446306
18058;-0.041131676783429605
18059;-4.733217710472644
18060;-2.1422139875174975
18061;-2.716826353009869
18062;-0.2684279261212618
18063;-0.007647443640143114
18064;-1.9455071250670921
18065;-0.007647443640143114
18066;-0.08288395660741571
18067;-2.482938653395132
18068;-1.809983815666731
18069;-4.349583846571173
18070;-2.75352487010794
18071;-0.16675920952342058
18072;-1.2115724441273974
18073;-6.155944613774647
18074;-4.462538319171502
18075;-2.619306881192963
18076;-0.012807633129594877
18077;-0.0005671926079448
18078;-0.14632608989184206
18079;-2.6655044665999723
18080;-3.7834396847383585
18081;-0.030041045527807335
18082;-3.180680897456689
18083;-4.008628238809611
18084;-1.2321165511780092
18085;-0.01413214086623658
18086;-1.7506067431465901
18087;-2.459852909309152
18088;-2.835050161411729
18089;-1.8282727716025655
18090;-0.000477818242362333
18091;-0.000477818242362333
18092;-0.000477818242362333
18093;-0.000477818242362333
18094;-0.0005741258450474515
18095;-1.4054412479534013
18096;-0.007661761613957972
18097;-0.007661761613957972
18098;-1.8101627177337853
18099;-0.9486376801839026
18100;-1.5821347278689761
18101;-0.5226919232656732
18102;-1.1995635805431268
18103;-3.068456027873589
18104;-2.4178076372697226
18105;-1.3198825529784521
18106;-0.47522224281817144
18107;-1.7711967822012695
18108;-2.678663599851137
18109;-1.2117913365076523
18110;-0.009966010286920119
18111;-0.004137484154762045
18112;-1.3915738419656063
18113;-2.4994323026279925
18114;-4.112667148812636
18115;-3.6148213480933205
18116;-2.885635593352557
18117;-3.9955254356605083
18118;-5.972829932907708
18119;-0.0015082343024150125
18120;-1.3193134028025106
18121;-0.06593870621534234
18122;-0.004350670949003281
18123;-3.6968744756459566
18124;-2.374810189034519
18125;-0.6365026374058075
18126;-0.4401804392969296
18127;-4.659020935032113
18128;-0.008571300708293893
18129;-1.6507143966446378
18130;-1.8687487166919166
18131;-0.26489858154815066
18132;-3.0758210701964495
18133;-2.1887326044853426
18134;-3.044151021809251
18135;-2.7951820810548735
18136;-4.6402328208791515
18137;-0.755271733948234
18138;-1.0804080208262725
18139;-0.39711966990046454
18140;-0.32907280722141097
18141;-3.561417355195425
18142;-3.0713595278020804
18143;-4.4887148319895855
18144;-2.820458103302925
18145;-0.0001654207796084356
18146;-2.510265210172594
